ID,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
AB195,1,,1,1,6.56,9.85,74,,2
AB196,1,0,1,1,9.84,11.365,48,15.0013,2
AB197,1,0,1,1,9.02,11.365,47,,3
AB198,1,,1,1,8.2,9.85,47,15.0013,33
AB199,1,0,1,1,7.38,9.09,43,12.998,88
AB200,1,0,1,1,8.2,9.09,40,19.9995,195
AB201,1,0,1,1,9.02,9.85,37,22.0028,115
AB202,1,,1,1,9.02,9.85,37,22.0028,57
AB203,1,0,1,1,10.66,11.365,33,22.0028,46
AB204,1,0,1,1,10.66,11.365,33,22.0028,79
AB205,1,,1,1,11.48,12.88,30,19.9995,71
AB206,1,,1,1,12.3,14.395,28,12.998,62
AB207,1,,1,1,12.3,14.395,28,12.998,62
AB208,1,,1,1,12.3,15.91,28,,89
AB209,1,,1,1,9.84,11.365,38,12.998,190
AB210,1,,1,1,9.84,12.12,38,,169
AB211,1,,1,1,9.84,12.88,38,7.0015,132
AB212,1,,1,1,9.02,11.365,47,,89
AB213,1,,1,1,8.2,9.85,51,12.998,43
AB214,1,,1,1,7.38,9.85,55,,42
AB215,1,,1,1,8.2,12.88,47,,19
AB216,1,,1,1,7.38,12.12,55,,11
AB217,1,,1,1,6.56,11.365,64,,4
AB218,1,,1,1,6.56,11.365,64,,2
AB219,1,,1,2,6.56,9.85,64,,1
AB220,1,,1,2,5.74,9.09,69,,4
AB221,1,,1,2,5.74,8.335,63,7.0015,36
AB222,1,,1,2,6.56,11.365,59,,95
AB223,1,,1,1,6.56,11.365,59,,219
AB224,1,,1,2,7.38,12.12,51,,122
AB225,1,,1,1,8.2,12.88,47,,45
AB226,1,,1,1,9.02,12.88,44,,59
AB227,1,,1,1,10.66,14.395,35,,84
AB228,1,,1,1,10.66,13.635,35,7.0015,67
AB229,1,,1,1,11.48,13.635,36,,70
AB230,1,,1,1,11.48,13.635,36,,62
AB231,1,,1,1,10.66,12.88,38,,86
AB232,1,,1,1,9.02,11.365,51,,172
AB233,1,,1,1,9.02,11.365,51,,163
AB234,1,,1,1,9.02,12.88,55,,112
AB235,1,,1,1,8.2,10.605,51,,69
AB236,1,,1,2,9.02,10.605,55,15.0013,48
AB237,1,,1,2,9.02,10.605,51,19.0012,52
AB238,1,,1,2,8.2,9.85,59,12.998,23
AB239,1,,1,2,8.2,9.85,64,12.998,17
AB240,1,,1,2,8.2,9.85,69,15.0013,7
AB241,1,,1,2,8.2,9.85,69,15.0013,1
AB242,1,,1,2,8.2,10.605,69,,1
AB243,1,,1,3,9.02,13.635,55,,5
AB244,1,,1,2,8.2,12.88,69,,34
AB245,1,,1,1,8.2,10.605,69,,84
AB246,1,,1,1,8.2,9.85,51,16.9979,210
AB247,1,,1,1,8.2,9.09,47,19.9995,134
AB248,1,,1,1,9.02,9.85,37,22.0028,63
AB249,1,,1,2,8.2,9.85,40,15.0013,67
AB250,1,,1,2,8.2,9.85,37,16.9979,59
AB251,1,,1,2,8.2,9.09,37,19.0012,73
AB252,1,,1,2,8.2,9.85,40,16.9979,50
AB253,1,,1,2,8.2,10.605,37,,72
AB254,1,,1,2,8.2,10.605,37,,87
AB255,1,,1,2,8.2,12.88,37,,187
AB256,1,,1,1,8.2,11.365,40,,123
AB257,1,,1,1,6.56,9.85,55,,95
AB258,1,,1,1,7.38,10.605,47,7.0015,51
AB259,1,,1,1,7.38,9.85,47,,39
AB260,1,,1,2,7.38,9.85,43,,36
AB261,1,,1,2,7.38,9.85,51,,15
AB262,1,,0,2,7.38,9.85,51,,25
AB263,1,,0,2,7.38,10.605,55,,16
AB264,1,,0,2,7.38,12.12,55,,16
AB265,1,,0,3,7.38,9.85,55,,7
AB266,1,,0,3,7.38,9.85,55,,1
AB267,1,,0,2,6.56,8.335,74,,5
AB268,1,,0,2,6.56,8.335,74,,2
AB269,1,,0,2,6.56,9.09,74,7.0015,9
AB270,1,,0,3,6.56,9.09,93,7.0015,15
AB271,1,,0,3,6.56,9.09,93,7.0015,20
AB272,1,,0,2,7.38,9.85,80,,61
AB273,1,,0,2,8.2,9.09,69,26.0027,62
AB274,1,,0,2,8.2,9.09,59,23.9994,98
AB275,1,,0,1,8.2,9.09,44,22.0028,102
AB276,1,,0,1,8.2,8.335,32,32.9975,95
AB277,1,,0,1,8.2,8.335,32,30.0026,74
AB278,1,,0,1,7.38,6.82,29,30.0026,76
AB279,1,,0,1,6.56,6.06,37,36.9974,69
AB280,1,,0,1,5.74,6.06,39,19.9995,55
AB281,1,,0,1,5.74,6.06,36,16.9979,30
AB282,1,,0,1,4.92,6.06,36,16.9979,28
AB283,1,,0,1,4.92,5.305,39,23.9994,37
AB284,1,,0,1,4.92,5.305,36,26.0027,34
AB285,1,,0,1,4.1,3.03,39,30.0026,22
AB286,1,,0,1,4.1,3.79,42,26.0027,25
AB287,1,,0,1,4.1,3.03,42,31.0009,12
AB288,1,,0,1,4.1,3.03,46,31.0009,11
AB289,1,,0,1,4.1,3.79,46,,4
AB290,1,,0,1,3.28,4.545,53,12.998,1
AB291,1,,0,1,3.28,4.545,53,12.998,1
AB292,1,,0,1,4.1,4.545,49,19.0012,1
AB293,1,,0,1,3.28,4.545,53,12.998,6
AB294,1,,0,1,4.1,4.545,49,19.0012,10
AB295,1,,0,1,4.92,3.79,46,35.0008,19
AB296,1,,0,1,5.74,5.305,43,26.0027,49
AB297,1,,0,1,6.56,6.06,40,35.0008,49
AB298,1,,0,1,7.38,6.82,37,30.0026,83
AB299,1,,0,1,8.2,8.335,34,30.0026,75
AB300,1,,0,1,9.02,9.09,32,31.0009,72
AB301,1,,0,1,9.02,9.85,35,23.9994,82
AB302,1,,0,1,8.2,8.335,34,30.0026,92
AB303,1,,0,1,7.38,7.575,37,26.0027,62
AB304,1,,0,1,6.56,6.82,40,22.0028,48
AB305,1,,0,1,6.56,6.82,43,22.0028,41
AB306,1,,0,1,5.74,6.06,46,16.9979,38
AB307,1,,0,1,5.74,5.305,46,,20
AB308,1,,0,1,5.74,6.06,46,19.9995,15
AB309,1,,0,1,4.92,6.82,50,12.998,6
AB310,1,,1,1,4.92,6.06,50,19.0012,5
AB311,1,,1,1,4.92,6.06,50,19.0012,1
AB312,1,,1,1,4.92,6.06,50,15.0013,3
AB313,1,,1,1,4.92,6.06,50,15.0013,1
AB314,1,,1,1,4.1,6.06,54,,3
AB315,1,,1,1,4.1,5.305,54,16.9979,3
AB316,1,,1,1,4.92,6.06,50,19.0012,31
AB317,1,,1,1,4.92,6.06,50,15.0013,77
AB318,1,,1,2,4.92,6.06,50,19.0012,188
AB319,1,,1,2,5.74,6.06,50,16.9979,94
AB320,1,,1,2,5.74,6.06,50,19.9995,31
AB321,1,,1,2,6.56,6.82,47,19.0012,30
AB322,1,,1,2,8.2,9.09,40,19.0012,52
AB323,1,,1,2,8.2,9.09,40,19.0012,54
AB324,1,,1,2,8.2,9.85,40,15.0013,47
AB325,1,,1,2,8.2,9.85,40,15.0013,45
AB326,1,,1,1,8.2,10.605,40,,74
AB327,1,,1,1,8.2,11.365,40,7.0015,178
AB328,1,,1,1,8.2,9.85,40,15.0013,155
AB329,1,,1,1,6.56,8.335,47,,95
AB330,1,,1,1,6.56,8.335,50,,74
AB331,1,,1,1,5.74,6.82,59,12.998,38
AB332,1,,1,1,5.74,7.575,59,,24
AB333,1,,1,1,5.74,7.575,59,,18
AB334,1,,1,1,5.74,8.335,59,7.0015,12
AB335,1,,1,1,5.74,7.575,59,,3
AB336,1,,1,2,6.56,7.575,55,12.998,3
AB337,1,,1,2,6.56,9.09,55,,6
AB338,1,,1,2,6.56,9.09,55,,27
AB339,1,,1,2,6.56,11.365,55,,99
AB340,1,,1,2,7.38,10.605,51,,217
AB341,1,,1,2,7.38,9.85,51,,130
AB342,1,,1,2,8.2,10.605,51,,54
AB343,1,,1,2,8.2,10.605,47,,35
AB344,1,,1,2,8.2,11.365,51,7.0015,57
AB345,1,,1,2,8.2,11.365,59,,52
AB346,1,,1,2,8.2,11.365,59,,63
AB347,1,,1,2,6.56,9.85,80,,47
AB348,1,,1,2,6.56,7.575,86,15.0013,76
AB349,1,,1,2,6.56,7.575,86,15.0013,136
AB350,1,,1,3,6.56,9.09,93,7.0015,95
AB351,1,,1,3,6.56,11.365,93,,51
AB352,1,,1,3,6.56,7.575,93,12.998,32
AB353,1,,1,3,6.56,9.85,86,,20
AB354,1,,1,3,6.56,9.09,93,7.0015,29
AB355,1,,1,3,6.56,9.85,93,,19
AB356,1,,1,2,6.56,9.85,86,,7
AB357,1,,1,2,6.56,9.09,86,7.0015,6
AB358,1,,1,1,5.74,7.575,86,,1
AB359,1,,1,1,5.74,7.575,86,,5
AB360,1,,1,1,4.92,7.575,93,,16
AB361,1,,1,1,5.74,7.575,69,,54
AB362,1,,1,1,6.56,8.335,59,,128
AB363,1,,1,1,6.56,6.82,59,22.0028,81
AB364,1,,1,1,7.38,9.09,55,15.0013,39
AB365,1,,1,1,8.2,9.09,51,26.0027,35
AB366,1,,1,1,8.2,7.575,47,39.0007,55
AB367,1,,1,1,9.02,9.85,44,23.9994,49
AB368,1,,1,1,8.2,9.09,47,22.0028,44
AB369,1,,1,1,8.2,8.335,47,,49
AB370,1,,1,1,9.02,9.85,44,22.0028,68
AB371,1,,1,1,8.2,9.09,47,23.9994,139
AB372,1,,1,1,8.2,7.575,47,35.0008,137
AB373,1,,1,1,7.38,7.575,47,,83
AB374,1,,1,1,6.56,6.82,50,22.0028,56
AB375,1,,1,1,6.56,6.82,55,22.0028,57
AB376,1,,1,1,6.56,6.06,55,30.0026,33
AB377,1,,1,1,5.74,5.305,59,,20
AB378,1,,1,1,5.74,6.06,59,19.0012,7
AB379,1,,1,1,5.74,6.06,50,19.0012,2
AB380,1,,1,1,5.74,6.06,50,23.9994,2
AB381,1,,1,1,5.74,6.06,50,22.0028,3
AB382,1,,1,1,5.74,6.06,50,16.9979,4
AB383,1,,1,1,5.74,6.06,50,19.9995,3
AB384,1,,1,1,4.92,7.575,54,,28
AB385,1,,1,1,4.92,7.575,54,,72
AB386,1,,1,1,5.74,6.82,50,12.998,202
AB387,1,,1,1,5.74,6.06,50,22.0028,139
AB388,1,,1,2,6.56,6.82,50,23.9994,38
AB389,1,,1,2,8.2,8.335,44,30.0026,37
AB390,1,,1,1,8.2,8.335,44,,52
AB391,1,,1,1,9.02,9.85,41,30.0026,83
AB392,1,,1,1,9.02,9.85,41,26.0027,42
AB393,1,,1,1,9.84,10.605,38,19.9995,60
AB394,1,,1,1,9.84,10.605,38,23.9994,78
AB395,1,,1,1,8.2,9.09,40,19.0012,162
AB396,1,,1,1,8.2,9.09,40,22.0028,144
AB397,1,,1,1,6.56,7.575,47,16.9979,99
AB398,1,,1,1,6.56,7.575,47,15.0013,64
AB399,1,,1,1,5.74,6.06,46,19.9995,40
AB400,1,,1,1,5.74,6.06,46,22.0028,30
AB401,1,,1,1,4.92,6.82,50,12.998,15
AB402,1,,1,1,4.92,6.82,50,12.998,14
AB403,1,,1,1,4.1,6.06,54,,5
AB404,1,,1,1,4.1,6.06,54,,1
AB405,1,,1,1,4.1,6.82,54,7.0015,1
AB406,1,,1,1,4.1,6.82,54,,8
AB407,1,,1,1,4.1,9.09,54,,17
AB408,1,,1,1,4.1,6.06,74,,70
AB409,1,,1,1,4.92,8.335,68,,158
AB410,1,,1,1,5.74,7.575,69,,117
AB411,1,,1,1,7.38,9.09,55,12.998,44
AB412,1,,1,1,7.38,8.335,51,19.0012,53
AB413,1,,1,1,8.2,9.85,44,16.9979,61
AB414,1,,1,1,9.02,9.85,37,26.0027,77
AB415,1,,1,1,9.02,10.605,41,19.0012,64
AB416,1,,1,1,9.84,12.12,38,,68
AB417,1,,1,1,9.02,12.12,41,7.0015,90
AB418,1,,1,1,9.02,11.365,41,,159
AB419,1,,1,1,8.2,12.88,47,,139
AB420,1,,1,1,6.56,9.85,59,,92
AB421,1,,1,1,7.38,12.12,59,,68
AB422,1,,1,1,6.56,11.365,69,,52
AB423,1,,1,2,6.56,11.365,69,,36
AB424,1,,1,2,7.38,12.12,55,,27
AB425,1,,0,1,7.38,12.12,55,,28
AB426,1,,0,2,6.56,9.85,59,,20
AB427,1,,0,2,6.56,9.85,59,,12
AB428,1,,0,2,6.56,11.365,59,,8
AB429,1,,0,2,6.56,11.365,59,,5
AB430,1,,0,1,6.56,11.365,59,,1
AB431,1,,0,1,5.74,8.335,63,7.0015,3
AB432,1,,0,1,5.74,10.605,63,,10
AB433,1,,0,1,5.74,7.575,63,,23
AB434,1,,0,1,6.56,9.09,64,,33
AB435,1,,0,1,7.38,9.85,59,,59
AB436,1,,0,1,8.2,9.85,55,15.0013,72
AB437,1,,0,1,9.84,11.365,48,15.0013,89
AB438,1,,0,1,11.48,12.88,38,19.9995,101
AB439,1,,0,1,12.3,14.395,39,19.0012,118
AB440,1,,0,2,13.12,15.91,36,12.998,129
AB441,1,,0,2,13.94,16.665,34,12.998,128
AB442,1,,0,2,13.12,15.15,36,19.0012,83
AB443,1,,0,2,12.3,14.395,45,16.9979,84
AB444,1,,0,2,13.12,15.15,39,16.9979,74
AB445,1,,0,2,13.12,15.15,39,16.9979,41
AB446,1,,0,2,13.12,15.15,39,15.0013,57
AB447,1,,0,2,12.3,15.91,42,7.0015,26
AB448,1,,0,1,12.3,14.395,45,19.0012,44
AB449,1,,0,1,10.66,15.15,56,,39
AB450,1,,0,1,10.66,13.635,56,,23
AB451,1,,0,1,10.66,14.395,56,,16
AB452,1,,0,1,9.02,13.635,69,,15
AB453,1,,0,1,10.66,12.88,56,,1
AB454,1,,0,2,10.66,12.88,56,,2
AB455,1,,0,2,10.66,12.88,56,,1
AB456,1,,0,2,9.84,10.605,56,19.9995,3
AB457,1,,0,1,9.02,10.605,55,19.0012,18
AB458,1,,0,1,9.02,10.605,51,16.9979,32
AB459,1,,0,1,9.02,10.605,51,19.0012,79
AB460,1,,0,1,9.84,11.365,44,16.9979,93
AB461,1,,0,1,9.84,10.605,41,19.0012,104
AB462,1,0,0,1,10.66,11.365,35,19.9995,118
AB463,1,0,0,1,11.48,13.635,36,16.9979,91
AB464,1,0,0,1,10.66,12.12,38,16.9979,113
AB465,1,,0,1,9.84,11.365,38,15.0013,99
AB466,1,0,0,1,9.02,10.605,37,16.9979,105
AB467,1,,0,1,8.2,10.605,40,,67
AB468,1,0,0,1,7.38,9.85,47,,61
AB469,1,,0,1,7.38,9.85,47,,57
AB470,1,0,0,1,7.38,9.85,51,,28
AB471,1,,0,2,8.2,10.605,49,,21
AB472,1,0,0,2,8.2,11.365,40,7.0015,18
AB473,1,1,0,2,8.2,9.85,47,15.0013,17
AB474,1,1,0,2,8.2,9.85,44,12.998,16
AB475,1,1,0,2,7.38,8.335,43,16.9979,8
AB476,1,1,0,2,7.38,9.09,43,12.998,2
AB477,1,1,0,2,7.38,9.85,43,,3
AB478,1,1,0,2,7.38,9.85,43,,1
AB479,1,,0,2,7.38,9.09,43,12.998,5
AB480,1,,0,2,6.56,9.09,50,,13
AB481,1,,0,2,6.56,7.575,47,15.0013,33
AB482,1,1,0,2,6.56,7.575,47,15.0013,47
AB483,1,1,0,2,6.56,7.575,50,16.9979,57
AB484,1,,0,2,6.56,7.575,55,12.998,64
AB485,1,1,0,2,7.38,9.85,47,,80
AB486,1,1,0,2,7.38,9.85,47,,93
AB487,1,,0,2,7.38,10.605,43,7.0015,86
AB488,1,1,0,2,8.2,10.605,47,,93
AB489,1,1,0,2,8.2,10.605,47,,82
AB490,1,1,0,1,8.2,9.85,51,12.998,71
AB491,1,1,0,2,7.38,8.335,55,16.9979,92
AB492,1,,0,3,7.38,9.09,59,12.998,60
AB493,1,1,0,3,6.56,7.575,80,12.998,33
AB494,1,1,0,3,6.56,7.575,80,12.998,27
AB495,1,1,0,3,5.74,6.06,93,16.9979,13
AB496,1,1,0,3,6.56,6.82,86,19.0012,4
AB497,1,,1,2,8.2,9.09,86,22.0028,3
AB498,1,0,1,2,8.2,9.85,86,15.0013,22
AB499,1,0,1,2,9.02,11.365,80,,28
AB500,1,0,1,2,9.02,11.365,87,,35
AB501,1,0,1,2,9.02,11.365,87,12.998,61
AB502,1,,1,2,9.02,11.365,82,12.998,125
AB503,1,0,1,2,9.02,11.365,80,,133
AB504,1,0,1,2,9.02,11.365,80,,99
AB505,1,0,1,2,9.02,13.635,87,,83
AB506,1,,1,2,9.02,12.12,93,7.0015,41
AB507,1,,1,2,9.02,12.88,93,,33
AB508,1,,1,2,9.02,13.635,93,,20
AB509,1,,1,2,9.02,13.635,93,,3
AB510,1,,1,3,9.02,11.365,93,,7
AB511,1,,1,3,9.02,11.365,93,,3
AB512,1,,1,3,9.02,11.365,93,,2
AB513,1,,1,2,9.02,12.88,93,,7
AB514,1,,1,2,9.02,12.88,93,,32
AB515,1,,1,2,9.84,12.88,92,7.0015,90
AB516,1,,1,2,9.84,12.88,93,7.0015,197
AB517,1,,1,2,9.84,12.88,93,7.0015,109
AB518,1,,1,2,10.66,13.635,93,,47
AB519,1,,1,2,11.48,15.15,87,,52
AB520,1,,1,2,12.3,15.91,81,,70
AB521,1,,1,1,16.4,20.455,62,19.0012,78
AB522,1,,1,1,16.4,20.455,58,16.9979,75
AB523,1,,1,1,16.4,20.455,54,19.0012,82
AB524,1,,1,1,15.58,19.695,58,26.0027,104
AB525,1,,1,1,14.76,16.665,57,22.0028,197
AB526,1,,1,1,13.94,15.91,61,19.0012,161
AB527,1,,1,1,13.12,14.395,57,,112
AB528,1,,1,1,13.12,15.15,49,19.9995,76
AB529,1,,1,1,13.12,14.395,49,,59
AB530,1,,1,1,12.3,15.15,52,,59
AB531,1,,1,1,12.3,13.635,52,31.0009,28
AB532,1,,1,1,10.66,11.365,56,26.0027,13
AB533,1,,1,1,10.66,13.635,56,,5
AB534,1,,1,1,10.66,13.635,56,,2
AB535,1,,1,1,10.66,12.88,56,,1
AB536,1,,1,1,10.66,12.88,56,,1
AB537,1,,1,1,9.84,11.365,60,15.0013,6
AB538,1,,1,1,9.02,10.605,60,15.0013,35
AB539,1,,1,1,9.02,10.605,55,15.0013,101
AB540,1,,1,1,9.02,10.605,55,19.0012,249
AB541,1,,1,2,9.84,11.365,52,15.0013,143
AB542,1,,1,1,10.66,11.365,48,19.9995,57
AB543,1,,1,2,11.48,13.635,45,,68
AB544,1,,1,2,12.3,16.665,42,,84
AB545,1,,1,2,11.48,14.395,45,7.0015,98
AB546,1,,1,2,12.3,15.15,45,,81
AB547,1,,1,2,13.12,15.91,45,12.998,70
AB548,1,,1,2,12.3,15.15,49,,91
AB549,1,,1,2,12.3,15.91,49,7.0015,215
AB550,1,,1,2,10.66,12.88,56,12.998,185
AB551,1,,1,1,10.66,11.365,56,22.0028,152
AB552,1,,1,2,10.66,12.12,60,19.0012,126
AB553,1,,1,2,9.84,11.365,60,16.9979,57
AB554,1,,1,2,9.84,10.605,65,19.0012,56
AB555,1,0,1,2,9.84,10.605,65,22.0028,31
AB556,1,0,1,2,9.84,11.365,70,16.9979,21
AB557,1,0,1,2,9.84,11.365,70,16.9979,6
AB558,1,0,1,3,9.84,12.12,75,,2
AB559,1,0,1,3,9.02,10.605,80,19.9995,1
AB560,1,0,1,2,9.02,12.88,87,,1
AB561,1,0,1,1,9.84,9.85,60,,5
AB562,1,,1,1,9.02,10.605,55,16.9979,27
AB563,1,,1,1,8.2,9.09,51,19.0012,68
AB564,1,,1,1,8.2,9.09,47,22.0028,217
AB565,1,,1,1,8.2,9.09,51,23.9994,166
AB566,1,,1,1,8.2,8.335,47,31.0009,63
AB567,1,,1,1,9.02,9.09,41,31.0009,59
AB568,1,,1,1,9.02,9.09,27,39.0007,78
AB569,1,,1,1,8.2,7.575,21,39.0007,73
AB570,1,,1,1,8.2,7.575,25,35.0008,62
AB571,1,,1,1,6.56,6.06,26,30.0026,65
AB572,1,,1,1,6.56,6.82,26,23.9994,97
AB573,1,,1,1,5.74,6.06,28,23.9994,161
AB574,1,,1,1,4.92,6.06,30,16.9979,120
AB575,1,,1,1,4.92,5.305,30,22.0028,96
AB576,1,,1,1,4.1,3.79,33,,53
AB577,1,,1,1,3.28,3.79,38,19.0012,41
AB578,1,,1,1,2.46,1.515,41,26.0027,34
AB579,1,,1,1,2.46,2.275,38,22.0028,27
AB580,1,,0,1,1.64,1.515,45,16.9979,13
AB581,1,,0,2,1.64,0,41,26.0027,12
AB582,1,,0,2,1.64,1.515,41,16.9979,11
AB583,1,,0,2,1.64,1.515,41,19.0012,7
AB584,1,,0,2,0.82,0.76,48,19.9995,3
AB585,1,,0,2,0.82,1.515,44,15.0013,2
AB586,1,,0,1,0.82,0.76,44,19.0012,8
AB587,1,,0,1,0.82,0,44,22.0028,27
AB588,1,,0,1,1.64,1.515,41,16.9979,40
AB589,1,,0,2,1.64,3.03,41,,53
AB590,1,,0,2,2.46,3.79,38,,63
AB591,1,,0,2,2.46,5.305,38,7.0015,70
AB592,1,,0,1,3.28,8.335,35,,84
AB593,1,,0,1,4.1,6.82,33,7.0015,75
AB594,1,,0,1,4.92,7.575,28,,103
AB595,1,,0,1,4.92,6.82,28,12.998,83
AB596,1,,0,1,4.92,9.85,28,,67
AB597,1,,0,1,3.28,4.545,35,12.998,54
AB598,1,,0,1,3.28,5.305,35,,59
AB599,1,,0,1,2.46,3.79,45,,45
AB600,1,,0,1,2.46,5.305,41,,39
AB601,1,,0,1,2.46,7.575,49,,30
AB602,1,,0,1,1.64,3.79,57,7.0015,33
AB603,1,,0,1,1.64,3.79,57,7.0015,22
AB604,1,,0,1,1.64,3.79,57,7.0015,13
AB605,1,,0,1,0.82,3.03,62,,18
AB606,1,,0,1,0.82,3.03,62,,5
AB607,1,,0,2,1.64,3.79,57,7.0015,3
AB608,1,,0,2,1.64,3.79,57,7.0015,1
AB609,1,,0,1,3.28,5.305,58,,2
AB610,1,,0,1,2.46,3.79,62,,19
AB611,1,,0,1,4.1,3.79,54,23.9994,28
AB612,1,,0,1,5.74,5.305,46,26.0027,58
AB613,1,,0,1,5.74,6.82,43,15.0013,99
AB614,1,,0,1,6.56,6.06,37,31.0009,116
AB615,1,,0,1,5.74,5.305,33,26.0027,87
AB616,1,,0,1,6.56,6.82,28,23.9994,110
AB617,1,,0,1,6.56,6.82,28,23.9994,77
AB618,1,,0,1,6.56,6.82,26,22.0028,65
AB619,1,,0,1,5.74,5.305,26,26.0027,55
AB620,1,,0,1,4.92,6.06,30,16.9979,49
AB621,1,,0,1,4.92,6.06,30,19.0012,50
AB622,1,,0,1,4.1,5.305,36,16.9979,35
AB623,1,,0,1,4.1,5.305,36,12.998,25
