ID,temp,atemp,humidity,windspeed,count
AB370,9.02,9.85,44,22.0028,68
AB371,8.2,9.09,47,23.9994,139
AB372,8.2,7.575,47,35.0008,137
AB373,7.38,7.575,47,27.9993,83
AB374,6.56,6.82,50,22.0028,56
AB375,6.56,6.82,55,22.0028,57
AB376,6.56,6.06,55,30.0026,33
AB377,5.74,5.305,59,27.9993,20
AB378,5.74,6.06,59,19.0012,7
AB379,5.74,6.06,50,19.0012,2
AB380,5.74,6.06,50,23.9994,2
AB381,5.74,6.06,50,22.0028,3
AB382,5.74,6.06,50,16.9979,4
AB383,5.74,6.06,50,19.9995,3
AB384,4.92,7.575,54,8.9981,28
AB385,4.92,7.575,54,8.9981,72
AB386,5.74,6.82,50,12.998,202
AB387,5.74,6.06,50,22.0028,139
AB388,6.56,6.82,50,23.9994,38
AB389,8.2,8.335,44,30.0026,37
AB390,8.2,8.335,44,27.9993,52
AB391,9.02,9.85,41,30.0026,83
AB392,9.02,9.85,41,26.0027,42
AB393,9.84,10.605,38,19.9995,60
AB394,9.84,10.605,38,23.9994,78
AB395,8.2,9.09,40,19.0012,162
AB396,8.2,9.09,40,22.0028,144
AB397,6.56,7.575,47,16.9979,99
AB398,6.56,7.575,47,15.0013,64
AB399,5.74,6.06,46,19.9995,40
AB400,5.74,6.06,46,22.0028,30
AB401,4.92,6.82,50,12.998,15
AB402,4.92,6.82,50,12.998,14
AB403,4.1,6.06,54,11.0014,5
AB404,4.1,6.06,54,8.9981,1
AB405,4.1,6.82,54,7.0015,1
AB406,4.1,6.82,54,6.0032,8
AB407,4.1,9.09,54,0,17
AB408,4.1,6.06,74,11.0014,70
AB409,4.92,8.335,68,0,158
AB410,5.74,7.575,69,8.9981,117
AB411,7.38,9.09,55,12.998,44
AB412,7.38,8.335,51,19.0012,53
AB413,8.2,9.85,44,16.9979,61
AB414,9.02,9.85,37,26.0027,77
AB415,9.02,10.605,41,19.0012,64
AB416,9.84,12.12,38,11.0014,68
AB417,9.02,12.12,41,7.0015,90
AB418,9.02,11.365,41,11.0014,159
AB419,8.2,12.88,47,0,139
AB420,6.56,9.85,59,6.0032,92
AB421,7.38,12.12,59,0,68
AB422,6.56,11.365,69,0,52
AB423,6.56,11.365,69,0,36
AB424,7.38,12.12,55,0,27
AB425,7.38,12.12,55,0,28
AB426,6.56,9.85,59,6.0032,20
AB427,6.56,9.85,59,6.0032,12
AB428,6.56,11.365,59,0,8
AB429,6.56,11.365,59,0,5
AB430,6.56,11.365,59,0,1
AB431,5.74,8.335,63,7.0015,3
AB432,5.74,10.605,63,0,10
AB433,5.74,7.575,63,8.9981,23
AB434,6.56,9.09,64,8.9981,33
AB435,7.38,9.85,59,11.0014,59
AB436,8.2,9.85,55,15.0013,72
AB437,9.84,11.365,48,15.0013,89
AB438,11.48,12.88,38,19.9995,101
AB439,12.3,14.395,39,19.0012,118
AB440,13.12,15.91,36,12.998,129
AB441,13.94,16.665,34,12.998,128
AB442,13.12,15.15,36,19.0012,83
AB443,12.3,14.395,45,16.9979,84
AB444,13.12,15.15,39,16.9979,74
AB445,13.12,15.15,39,16.9979,41
AB446,13.12,15.15,39,15.0013,57
AB447,12.3,15.91,42,7.0015,26
AB448,12.3,14.395,45,19.0012,44
AB449,10.66,15.15,56,0,39
AB450,10.66,13.635,56,8.9981,23
AB451,10.66,14.395,56,6.0032,16
AB452,9.02,13.635,69,0,15
AB453,10.66,12.88,56,11.0014,1
AB454,10.66,12.88,56,11.0014,2
AB455,10.66,12.88,56,11.0014,1
AB456,9.84,10.605,56,19.9995,3
AB457,9.02,10.605,55,19.0012,18
AB458,9.02,10.605,51,16.9979,32
AB459,9.02,10.605,51,19.0012,79
AB460,9.84,11.365,44,16.9979,93
AB461,9.84,10.605,41,19.0012,104
AB462,10.66,11.365,35,19.9995,118
AB463,11.48,13.635,36,16.9979,91
AB464,10.66,12.12,38,16.9979,113
AB465,9.84,11.365,38,15.0013,99
AB466,9.02,10.605,37,16.9979,105
AB467,8.2,10.605,40,11.0014,67
AB468,7.38,9.85,47,8.9981,61
AB469,7.38,9.85,47,11.0014,57
AB470,7.38,9.85,51,11.0014,28
AB471,8.2,10.605,49,8.9981,21
AB472,8.2,11.365,40,7.0015,18
AB473,8.2,9.85,47,15.0013,17
AB474,8.2,9.85,44,12.998,16
AB475,7.38,8.335,43,16.9979,8
AB476,7.38,9.09,43,12.998,2
AB477,7.38,9.85,43,8.9981,3
AB478,7.38,9.85,43,11.0014,1
AB479,7.38,9.09,43,12.998,5
AB480,6.56,9.09,50,8.9981,13
AB481,6.56,7.575,47,15.0013,33
AB482,6.56,7.575,47,15.0013,47
AB483,6.56,7.575,50,16.9979,57
AB484,6.56,7.575,55,12.998,64
AB485,7.38,9.85,47,8.9981,80
AB486,7.38,9.85,47,8.9981,93
AB487,7.38,10.605,43,7.0015,86
AB488,8.2,10.605,47,11.0014,93
AB489,8.2,10.605,47,11.0014,82
AB490,8.2,9.85,51,12.998,71
AB491,7.38,8.335,55,16.9979,92
AB492,7.38,9.09,59,12.998,60
AB493,6.56,7.575,80,12.998,33
AB494,6.56,7.575,80,12.998,27
AB495,5.74,6.06,93,16.9979,13
AB496,6.56,6.82,86,19.0012,4
AB497,8.2,9.09,86,22.0028,3
AB498,8.2,9.85,86,15.0013,22
AB499,9.02,11.365,80,11.0014,28
AB500,9.02,11.365,87,11.0014,35
AB501,9.02,11.365,87,12.998,61
AB502,9.02,11.365,82,12.998,125
AB503,9.02,11.365,80,11.0014,133
AB504,9.02,11.365,80,8.9981,99
AB505,9.02,13.635,87,0,83
AB506,9.02,12.12,93,7.0015,41
AB507,9.02,12.88,93,6.0032,33
AB508,9.02,13.635,93,0,20
AB509,9.02,13.635,93,0,3
AB510,9.02,11.365,93,8.9981,7
AB511,9.02,11.365,93,8.9981,3
AB512,9.02,11.365,93,8.9981,2
AB513,9.02,12.88,93,6.0032,7
AB514,9.02,12.88,93,6.0032,32
AB515,9.84,12.88,92,7.0015,90
AB516,9.84,12.88,93,7.0015,197
AB517,9.84,12.88,93,7.0015,109
AB518,10.66,13.635,93,8.9981,47
AB519,11.48,15.15,87,6.0032,52
AB520,12.3,15.91,81,6.0032,70
AB521,16.4,20.455,62,19.0012,78
AB522,16.4,20.455,58,16.9979,75
AB523,16.4,20.455,54,19.0012,82
AB524,15.58,19.695,58,26.0027,104
AB525,14.76,16.665,57,22.0028,197
AB526,13.94,15.91,61,19.0012,161
AB527,13.12,14.395,57,27.9993,112
AB528,13.12,15.15,49,19.9995,76
AB529,13.12,14.395,49,27.9993,59
AB530,12.3,15.15,52,11.0014,59
AB531,12.3,13.635,52,31.0009,28
AB532,10.66,11.365,56,26.0027,13
AB533,10.66,13.635,56,0,5
AB534,10.66,13.635,56,0,2
AB535,10.66,12.88,56,11.0014,1
AB536,10.66,12.88,56,11.0014,1
AB537,9.84,11.365,60,15.0013,6
AB538,9.02,10.605,60,15.0013,35
AB539,9.02,10.605,55,15.0013,101
AB540,9.02,10.605,55,19.0012,249
AB541,9.84,11.365,52,15.0013,143
AB542,10.66,11.365,48,19.9995,57
AB543,11.48,13.635,45,11.0014,68
AB544,12.3,16.665,42,0,84
AB545,11.48,14.395,45,7.0015,98
AB546,12.3,15.15,45,8.9981,81
AB547,13.12,15.91,45,12.998,70
AB548,12.3,15.15,49,8.9981,91
AB549,12.3,15.91,49,7.0015,215
AB550,10.66,12.88,56,12.998,185
AB551,10.66,11.365,56,22.0028,152
AB552,10.66,12.12,60,19.0012,126
AB553,9.84,11.365,60,16.9979,57
AB554,9.84,10.605,65,19.0012,56
AB555,9.84,10.605,65,22.0028,31
AB556,9.84,11.365,70,16.9979,21
AB557,9.84,11.365,70,16.9979,6
AB558,9.84,12.12,75,11.0014,2
AB559,9.02,10.605,80,19.9995,1
AB560,9.02,12.88,87,6.0032,1
AB561,9.84,9.85,60,27.9993,5
AB562,9.02,10.605,55,16.9979,27
AB563,8.2,9.09,51,19.0012,68
AB564,8.2,9.09,47,22.0028,217
AB565,8.2,9.09,51,23.9994,166
AB566,8.2,8.335,47,31.0009,63
AB567,9.02,9.09,41,31.0009,59
AB568,9.02,9.09,27,39.0007,78
AB569,8.2,7.575,21,39.0007,73
AB570,8.2,7.575,25,35.0008,62
AB571,6.56,6.06,26,30.0026,65
AB572,6.56,6.82,26,23.9994,97
AB573,5.74,6.06,28,23.9994,161
AB574,4.92,6.06,30,16.9979,120
AB575,4.92,5.305,30,22.0028,96
AB576,4.1,3.79,33,27.9993,53
AB577,3.28,3.79,38,19.0012,41
AB578,2.46,1.515,41,26.0027,34
AB579,2.46,2.275,38,22.0028,27
AB580,1.64,1.515,45,16.9979,13
AB581,1.64,0,41,26.0027,12
AB582,1.64,1.515,41,16.9979,11
AB583,1.64,1.515,41,19.0012,7
AB584,0.82,0.76,48,19.9995,3
AB585,0.82,1.515,44,15.0013,2
AB586,0.82,0.76,44,19.0012,8
AB587,0.82,0,44,22.0028,27
AB588,1.64,1.515,41,16.9979,40
AB589,1.64,3.03,41,11.0014,53
AB590,2.46,3.79,38,8.9981,63
AB591,2.46,5.305,38,7.0015,70
AB592,3.28,8.335,35,0,84
AB593,4.1,6.82,33,7.0015,75
AB594,4.92,7.575,28,0,103
AB595,4.92,6.82,28,12.998,83
AB596,4.92,9.85,28,0,67
AB597,3.28,4.545,35,12.998,54
AB598,3.28,5.305,35,8.9981,59
AB599,2.46,3.79,45,11.0014,45
AB600,2.46,5.305,41,6.0032,39
AB601,2.46,7.575,49,0,30
AB602,1.64,3.79,57,7.0015,33
AB603,1.64,3.79,57,7.0015,22
AB604,1.64,3.79,57,7.0015,13
AB605,0.82,3.03,62,8.9981,18
AB606,0.82,3.03,62,8.9981,5
AB607,1.64,3.79,57,7.0015,3
AB608,1.64,3.79,57,7.0015,1
AB609,3.28,5.305,58,11.0014,2
AB610,2.46,3.79,62,11.0014,19
AB611,4.1,3.79,54,23.9994,28
AB612,5.74,5.305,46,26.0027,58
AB613,5.74,6.82,43,15.0013,99
AB614,6.56,6.06,37,31.0009,116
AB615,5.74,5.305,33,26.0027,87
AB616,6.56,6.82,28,23.9994,110
AB617,6.56,6.82,28,23.9994,77
AB618,6.56,6.82,26,22.0028,65
AB619,5.74,5.305,26,26.0027,55
AB620,4.92,6.06,30,16.9979,49
AB621,4.92,6.06,30,19.0012,50
AB622,4.1,5.305,36,16.9979,35
AB623,4.1,5.305,36,12.998,25
AB624,3.28,4.545,38,12.998,28
AB625,2.46,3.03,41,15.0013,21
AB626,2.46,3.03,41,12.998,7
AB627,1.64,2.275,45,12.998,1
AB628,1.64,1.515,45,16.9979,1
AB629,0.82,3.03,48,8.9981,1
AB630,0.82,3.03,48,8.9981,5
AB631,0.82,3.79,48,6.0032,15
AB632,0.82,6.06,48,0,84
AB633,1.64,6.82,49,0,177
AB634,2.46,7.575,41,0,102
AB635,4.1,6.82,42,0,40
AB636,4.1,6.06,46,8.9981,46
AB637,4.92,6.82,42,12.998,63
AB638,5.74,6.82,43,15.0013,60
AB639,5.74,6.82,46,15.0013,45
AB640,6.56,8.335,40,11.0014,57
AB641,6.56,7.575,47,16.9979,70
AB642,5.74,6.06,50,16.9979,184
AB643,5.74,6.82,59,12.998,153
AB644,5.74,7.575,54,11.0014,106
AB645,5.74,6.82,59,12.998,81
AB646,5.74,7.575,63,11.0014,59
AB647,5.74,6.82,63,15.0013,35
AB648,6.56,7.575,64,16.9979,24
AB649,6.56,6.82,69,19.0012,9
AB650,6.56,8.335,69,11.0014,5
AB651,6.56,7.575,69,15.0013,2
AB652,5.74,8.335,74,7.0015,1
AB653,5.74,6.82,74,15.0013,9
AB654,6.56,9.09,74,7.0015,36
AB655,6.56,7.575,74,15.0013,108
AB656,6.56,9.09,74,8.9981,238
AB657,8.2,11.365,64,6.0032,144
AB658,9.02,12.12,60,7.0015,55
AB659,9.84,12.12,60,8.9981,61
AB660,10.66,14.395,56,6.0032,106
AB661,10.66,13.635,56,8.9981,93
AB662,12.3,16.665,45,0,68
AB663,13.12,17.425,42,0,84
AB664,13.12,17.425,42,0,116
AB665,12.3,16.665,45,0,222
AB666,12.3,15.91,49,6.0032,225
AB667,10.66,12.88,65,11.0014,146
AB668,9.84,11.365,65,12.998,119
AB669,9.84,11.365,65,12.998,45
AB670,9.02,11.365,64,11.0014,53
AB671,9.02,11.365,64,11.0014,40
AB672,9.02,11.365,69,8.9981,17
AB673,9.84,12.12,65,8.9981,5
AB674,9.02,11.365,69,12.998,10
AB675,8.2,9.09,86,19.0012,1
AB676,8.2,9.09,86,19.0012,8
AB677,9.02,10.605,87,19.9995,30
AB678,9.02,10.605,87,19.9995,72
AB679,9.02,10.605,87,19.9995,58
AB680,9.02,10.605,93,19.0012,28
AB681,9.02,9.85,93,22.0028,41
AB682,9.02,9.85,93,22.0028,48
AB683,9.02,9.85,93,22.0028,47
AB684,9.02,9.85,93,23.9994,36
AB685,9.02,9.09,93,31.0009,43
AB686,9.02,9.85,93,22.0028,36
AB687,8.2,9.09,93,23.9994,26
AB688,9.02,11.365,55,12.998,24
AB689,9.02,12.12,55,7.0015,84
AB690,8.2,11.365,69,6.0032,104
AB691,8.2,11.365,69,6.0032,79
AB692,7.38,10.605,74,6.0032,59
AB693,7.38,10.605,74,6.0032,38
AB694,7.38,10.605,74,6.0032,27
AB695,7.38,9.85,80,11.0014,16
AB696,8.2,10.605,75,8.9981,9
AB697,8.2,10.605,75,8.9981,3
AB698,8.2,10.605,75,11.0014,2
AB699,8.2,11.365,75,7.0015,1
AB700,7.38,10.605,80,7.0015,4
AB701,7.38,9.85,80,8.9981,16
AB702,6.56,9.85,86,6.0032,60
AB703,6.56,9.85,86,6.0032,157
AB704,7.38,10.605,86,6.0032,101
AB705,7.38,10.605,86,7.0015,49
AB706,7.38,10.605,93,7.0015,30
AB707,7.38,10.605,93,7.0015,29
AB708,7.38,10.605,93,7.0015,31
AB709,9.02,13.635,80,0,38
AB710,8.2,12.88,86,0,41
AB711,9.02,13.635,80,0,80
AB712,9.84,12.12,75,8.9981,149
AB713,9.84,11.365,75,12.998,109
AB714,9.84,12.12,75,8.9981,89
AB715,9.84,11.365,70,12.998,62
AB716,9.02,11.365,75,8.9981,58
AB717,9.84,10.605,65,23.9994,26
AB718,9.84,11.365,60,15.0013,23
AB719,9.02,9.85,64,23.9994,28
AB720,9.02,11.365,64,12.998,20
AB721,9.02,11.365,64,11.0014,15
AB722,8.2,10.605,64,8.9981,8
AB723,6.56,9.09,69,7.0015,3
AB724,6.56,9.09,64,8.9981,2
AB725,6.56,9.09,59,7.0015,5
AB726,7.38,9.85,55,11.0014,34
AB727,7.38,10.605,59,6.0032,34
AB728,7.38,10.605,64,7.0015,55
AB729,7.38,9.85,64,8.9981,64
AB730,8.2,9.85,59,12.998,78
AB731,9.02,11.365,55,11.0014,65
AB732,9.02,11.365,60,8.9981,99
AB733,9.02,10.605,69,16.9979,120
AB734,9.84,12.12,60,11.0014,107
AB735,9.84,14.395,60,0,91
AB736,9.02,11.365,69,8.9981,68
AB737,9.02,10.605,69,16.9979,58
AB738,7.38,10.605,74,6.0032,43
AB739,7.38,10.605,74,6.0032,36
AB740,6.56,9.85,80,6.0032,32
AB741,6.56,9.85,80,6.0032,33
AB742,6.56,9.09,80,7.0015,33
AB743,5.74,10.605,80,0,29
AB744,6.56,11.365,80,0,11
AB745,5.74,10.605,93,0,8
AB746,5.74,10.605,93,0,1
AB747,5.74,10.605,86,0,3
AB748,5.74,10.605,86,0,3
AB749,5.74,10.605,86,0,12
AB750,6.56,11.365,80,0,38
AB751,7.38,12.12,80,0,64
AB752,9.02,13.635,75,0,59
AB753,12.3,15.91,52,7.0015,97
AB754,11.48,14.395,61,7.0015,84
AB755,11.48,15.15,61,6.0032,122
AB756,12.3,16.665,56,0,109
AB757,12.3,16.665,56,0,123
AB758,12.3,14.395,56,12.998,77
AB759,10.66,12.88,65,11.0014,65
AB760,10.66,12.88,65,12.998,55
AB761,10.66,13.635,65,7.0015,33
AB762,9.84,12.12,70,11.0014,28
AB763,9.84,11.365,70,12.998,21
AB764,9.84,10.605,65,19.0012,21
AB765,9.84,11.365,65,15.0013,7
AB766,9.02,10.605,64,16.9979,7
AB767,9.02,11.365,64,12.998,1
AB768,9.02,11.365,64,12.998,2
AB769,8.2,9.85,59,15.0013,2
AB770,7.38,8.335,64,19.0012,8
AB771,6.56,6.82,69,22.0028,37
AB772,6.56,6.82,64,19.0012,72
AB773,6.56,6.82,59,19.0012,185
AB774,6.56,6.82,59,19.9995,112
AB775,6.56,7.575,59,12.998,69
AB776,6.56,7.575,59,12.998,48
AB777,7.38,10.605,55,7.0015,68
AB778,6.56,11.365,59,0,54
